no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,english,japanese,japanese_romanization,vietnamese,vietnamese_romanization,hakka_sixian_hanzi,hakka_sixian,hakka_sixian_display,hakka_sixian_match_type
1,时间,時間,시간,si gan,时间,shí jiān,time,時間,jikan,thì gian,thi gian,時間,sṳ̀-kiên,siiˇ gienˊ,exact
2,价格,價格,가격,ga gyeok,价格,jià gé,price,価格,kakaku,giá cách,gia cach,價格,ka-kiet,ga giedˋ,char_composed
3,电话,電話,전화,jeon hwa,电话,diàn huà,telephone,電話,denwa,thoại,thoai,電話,thien-fa,tien fa,exact
4,世界,世界,세계,se gye,世界,shì jiè,world,世界,sekai,thế giới,the gioi,世界,sṳ-kie,sii gie,exact
5,以上,以上,이상,i sang,以上,yǐ shàng,above,以上,ijou,thượng,thuong,以上,yî-sông,iˊ songˊ,char_composed
6,商品,商品,상품,sang pum,商品,shāng pǐn,commodity,商品,shouhin,thương phẩm,thuong pham,商品,sông-phín,songˊ pinˋ,char_composed
7,时代,時代,시대,si dae,时代,shí dài,era,時代,jidai,thì đại,thi dai,時代,sṳ̀-thoi,siiˇ toi,exact
8,作品,作品,작품,jak pum,作品,zuò pǐn,work,作品,sakuhin,tác phẩm,tac pham,作品,chok-phín,zogˋ pinˋ,exact
9,必要,必要,필요,pil yo,必要,bì yào,necessary,必要,hitsuyou,tất yếu,tat yeu,必要,pit-yeu,bidˋ ieu,exact
10,自然,自然,자연,ja yeon,自然,zì rán,nature,自然,shizen,tự nhiên,tu nhien,自然,chhṳ-yèn,cii ienˇ,exact
11,使用,使用,사용,sa yong,使用,shǐ yòng,use,使用,shiyou,sứ dụng,su dung,使用,,,missing
12,音乐,音樂,음악,eum ak,音乐,yīn yuè,music,音楽,ongaku,âm lạc,am lac,音樂,yîm-ngo̍k,imˊ ngog,exact
13,生活,生活,생활,saeng hwal,生活,shēng huó,life,生活,seikatsu,sinh hoạt,sinh hoat,生活,sên-fa̍t,senˊ fad,exact
14,问题,問題,문제,mun je,问题,wèn tí,question,問題,mondai,,,問題,mun-thì,mun tiˇ,exact
15,可能,可能,가능,ga neung,可能,kě néng,possible,可能,kanou,khả năng,kha nang,可能,khó-nèn,koˋ nenˇ,exact
16,关系,關係,관계,gwan gye,关系,guān xì,relation,関係,kankei,quan hệ,quan he,關係,koân-he,guanˊ he,exact
17,现在,現在,현재,hyeon jae,现在,xiàn zài,now,現在,genzai,hiện tại,hien tai,現在,,,missing
18,大学,大學,대학,dae hak,大学,dà xué,university,大学,daigaku,đại học,dai hoc,大學,thai-ho̍k,tai hog,exact
