no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,japanese,japanese_romanization,vietnamese,vietnamese_romanization
1,时间,時間,시간,si gan,时间,shí jiān,時間,jikan,thì gian,thi gian
2,价格,價格,가격,ga gyeok,价格,jià gé,価格,kakaku,giá cách,gia cach
3,电话,電話,전화,jeon hwa,电话,diàn huà,電話,denwa,thoại,thoai
4,世界,世界,세계,se gye,世界,shì jiè,世界,sekai,thế giới,the gioi
5,以上,以上,이상,i sang,以上,yǐ shàng,以上,ijou,thượng,thuong
6,商品,商品,상품,sang pum,商品,shāng pǐn,商品,shouhin,thương phẩm,thuong pham
7,时代,時代,시대,si dae,时代,shí dài,時代,jidai,thì đại,thi dai
8,作品,作品,작품,jak pum,作品,zuò pǐn,作品,sakuhin,tác phẩm,tac pham
9,必要,必要,필요,pil yo,必要,bì yào,必要,hitsuyou,tất yếu,tat yeu
10,自然,自然,자연,ja yeon,自然,zì rán,自然,shizen,tự nhiên,tu nhien
11,使用,使用,사용,sa yong,使用,shǐ yòng,使用,shiyou,sứ dụng,su dung
12,音乐,音樂,음악,eum ak,音乐,yīn yuè,音楽,ongaku,âm lạc,am lac
13,生活,生活,생활,saeng hwal,生活,shēng huó,生活,seikatsu,sinh hoạt,sinh hoat
14,问题,問題,문제,mun je,问题,wèn tí,問題,mondai,,
15,可能,可能,가능,ga neung,可能,kě néng,可能,kanou,khả năng,kha nang
16,关系,關係,관계,gwan gye,关系,guān xì,関係,kankei,quan hệ,quan he
17,现在,現在,현재,hyeon jae,现在,xiàn zài,現在,genzai,hiện tại,hien tai
18,大学,大學,대학,dae hak,大学,dà xué,大学,daigaku,đại học,dai hoc
19,利用,利用,이용,i yong,利用,lì yòng,利用,riyou,lợi dụng,loi dung
20,效果,效果,효과,hyo gwa,效果,xiào guǒ,効果,kouka,hiệu quả,hieu qua
21,部分,部分,부분,bu bun,部分,bù fèn,部分,bubun,bộ phân,bo phan
22,方法,方法,방법,bang beop,方法,fāng fǎ,方法,houhou,phương pháp,phuong phap
23,营业,營業,영업,yeong eop,营业,yíng yè,営業,eigyou,nghiệp,nghiep
24,情报,情報,정보,jeong bo,情报,qíng bào,情報,jouhou,tình báo,tinh bao
25,特别,特別,특별,teuk byeol,特别,tè bié,特別,tokubetsu,đặc biết,dac biet
26,希望,希望,희망,hui mang,希望,xī wàng,希望,kibou,hơi vọng,hoi vong
27,文化,文化,문화,mun hwa,文化,wén huà,文化,bunka,văn hoá,van hoa
28,技术,技術,기술,gi sul,技术,jì shù,技術,gijutsu,kĩ thuật,ki thuat
29,基本,基本,기본,gi bon,基本,jī běn,基本,kihon,cơ bản,co ban
30,意味,意味,의미,ui mi,意味,yì wèi,意味,imi,ý vị,y vi
31,自动,自動,자동,ja dong,自动,zì dòng,自動,jidou,tự động,tu dong
32,内容,內容,내용,nae yong,内容,nèi róng,内容,naiyou,dung,dung
33,自由,自由,자유,ja yu,自由,zì yóu,自由,jiyuu,tự do,tu do
34,简单,簡單,간단,gan dan,简单,jiǎn dān,簡単,kantan,giản đơn,gian don
35,中心,中心,중심,jung sim,中心,zhōng xīn,中心,chuushin,trung tâm,trung tam
36,最近,最近,최근,choe geun,最近,zuì jìn,最近,saikin,tối cận,toi can
37,参加,參加,참가,cham ga,参加,cān jiā,参加,sanka,tham gia,tham gia
38,结婚,結婚,결혼,gyeol hon,结婚,jié hūn,結婚,kekkon,kết,ket
39,一般,一般,일반,il ban,一般,yì bān,一般,ippan,nhất bàn,nhat ban
40,社会,社會,사회,sa hoe,社会,shè huì,社会,shakai,xã hội,xa hoi
41,保险,保險,보험,bo heom,保险,bǎo xiǎn,保険,hoken,bảo hiểm,bao hiem
42,学校,學校,학교,hak gyo,学校,xué xiào,学校,gakkou,học chò,hoc cho
43,开发,開發,개발,gae bal,开发,kāi fā,開発,kaihatsu,khai phát,khai phat
44,先生,先生,선생,seon saeng,先生,xiān shēng,先生,sensei,tiên sinh,tien sinh
45,程度,程度,정도,jeong do,程度,chéng dù,程度,teido,trình độ,trinh do
46,大会,大會,대회,dae hoe,大会,dà huì,大会,taikai,đại hội,dai hoi
47,发表,發表,발표,bal pyo,发表,fā biǎo,発表,happyou,phát biểu,phat bieu
48,印象,印象,인상,in sang,印象,yìn xiàng,印象,inshou,ấn tượng,an tuong
49,结果,結果,결과,gyeol gwa,结果,jié guǒ,結果,kekka,kết quả,ket qua
50,存在,存在,존재,jon jae,存在,cún zài,存在,sonzai,tồn tại,ton tai
51,最初,最初,최초,choe cho,最初,zuì chū,最初,saisho,tối sơ,toi so
52,装备,裝備,장비,jang bi,装备,zhuāng bèi,装備,soubi,trang bị,trang bi
53,消费,消費,소비,so bi,消费,xiāo fèi,消費,shouhi,tiêu phí,tieu phi
54,采用,採用,채용,chae yong,采用,cǎi yòng,採用,saiyou,thái dụng,thai dung
55,全体,全體,전체,jeon che,全体,quán tǐ,全体,zentai,toàn thể,toan the
56,飞行,飛行,비행,bi haeng,飞行,fēi xíng,飛行,hikou,phi hàng,phi hang
57,国际,國際,국제,guk je,国际,guó jì,国際,kokusai,quốc,quoc
58,企业,企業,기업,gi eop,企业,qǐ yè,企業,kigyou,xí nghiệp,xi nghiep
59,专门,專門,전문,jeon mun,专门,zhuān mén,専門,senmon,chuyên môn,chuyen mon
60,中央,中央,중앙,jung ang,中央,zhōng yāng,中央,chuuou,trung ương,trung uong
61,普通,普通,보통,bo tong,普通,pǔ tōng,普通,futsuu,phổ thông,pho thong
62,经济,經濟,경제,gyeong je,经济,jīng jì,経済,keizai,kinh,kinh
63,现代,現代,현대,hyeon dae,现代,xiàn dài,現代,gendai,hiện đại,hien dai
64,当时,當時,당시,dang si,当时,dāng shí,当時,touji,đương thì,duong thi
65,实际,實際,실제,sil je,实际,shí jì,実際,jissai,thực,thuc
66,学生,學生,학생,hak saeng,学生,xué shēng,学生,gakusei,học sinh,hoc sinh
67,银行,銀行,은행,eun haeng,银行,yín háng,銀行,ginkou,ngân hàng,ngan hang
68,旅行,旅行,여행,yeo haeng,旅行,lǚ xíng,旅行,ryokou,lữ hàng,lu hang
69,以下,以下,이하,i ha,以下,yǐ xià,以下,ika,hạ,ha
70,说明,說明,설명,seol myeong,说明,shuō míng,説明,setsumei,minh,minh
71,感觉,感覺,감각,gam gak,感觉,gǎn jué,感覚,kankaku,cảm giác,cam giac
72,经验,經驗,경험,gyeong heom,经验,jīng yàn,経験,keiken,kinh nghiệm,kinh nghiem
73,活跃,活躍,활약,hwal yak,活跃,huó yuè,活躍,katsuyaku,hoạt dược,hoat duoc
74,代表,代表,대표,dae pyo,代表,dài biǎo,代表,daihyou,đại biểu,dai bieu
